timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Cloud Attenuation
20130119T1300,-1.1497546,0,74,78,68,0.4417871992
20130119T1400,-0.7197546,0,100,88,62,0.3993731038
20130119T1500,-0.5497546,0,100,99,61,0.4730283877
20130119T1600,-0.41975462,0,100,99,47,0.32399641
20130119T1700,-0.4297546,0.2,100,100,9,0.2922537615
20130119T1800,-0.3897546,0.3,100,100,7,0.3134285778
20130119T1900,-0.4297546,0.3,100,98,4,0.4342486845
20130119T2000,-0.35975462,0.3,98,100,2,0.2002076807
20130119T2100,-0.3097546,0.4,98,99,1,0.171731663
20130119T2200,-0.2597546,0.7,99,100,2,0.2609593942
20130119T2300,-0.04975462,1,98,91,4,0.1972325377
20130120T0000,0.090245396,1.3,97,96,2,0.4798293491
20130120T0100,0.35024542,1.1,97,100,5,0.4727735531
20130120T0200,0.34024543,0.9,92,74,0,0.3497197611
20130120T0300,0.4502454,0.4,94,88,1,0.3609305511
20130120T0400,-0.11975461,0.2,96,98,1,0.3339567173
20130120T0500,-0.5897546,0,96,36,0,0.3797966286
20130120T0600,-0.47975457,0,37,21,4,0.3968696395
